ISO-3166-1;ISO-3166-2;Name1;Name2;Wikipedia;Type
MU;RO;"Rodrigues Island";"Rodrigues Island";https://en.wikipedia.org/wiki/Rodrigues_Island;dependency
MU;BL;"Black River District";"Black River";https://en.wikipedia.org/wiki/Black_River_District;district
MU;FL;"Flacq District";Flacq;https://en.wikipedia.org/wiki/Flacq_District;district
MU;GP;"Grand Port District";"Grand Port";https://en.wikipedia.org/wiki/Grand_Port_District;district
MU;MO;"Moka District";Moka;https://en.wikipedia.org/wiki/Moka_District;district
MU;PA;"Pamplemousses District";Pamplemousses;https://en.wikipedia.org/wiki/Pamplemousses_District;district
MU;PW;"Plaines Wilhems District";"Plaines Wilhems";https://en.wikipedia.org/wiki/Plaines_Wilhems_District;district
MU;PL;"Port Louis District";"Port Louis";https://en.wikipedia.org/wiki/Port_Louis_District;district
MU;RR;"Rivière du Rempart District";"Rivière du Rempart";https://en.wikipedia.org/wiki/Rivi%C3%A8re_du_Rempart_District;district
MU;SA;"Savanne District";Savanne;https://en.wikipedia.org/wiki/Savanne_District;district
MV;02;"Alif Alif Atoll";"Alifu Alifu";https://en.wikipedia.org/wiki/Alif_Alif_Atoll;provinces
MV;00;"Alif Dhaal Atoll";"Alifu Dhaalu";https://en.wikipedia.org/wiki/Alif_Dhaal_Atoll;provinces
MV;20;"Baa Atoll";Baa;https://en.wikipedia.org/wiki/Baa_Atoll;provinces
MV;17;"Dhaalu Atoll";Dhaalu;https://en.wikipedia.org/wiki/Dhaalu_Atoll;provinces
MV;14;"Faafu Atoll";Faafu;https://en.wikipedia.org/wiki/Faafu_Atoll;provinces
MV;27;"Gaaf Alif Atoll";"Gaafu Alifu";https://en.wikipedia.org/wiki/Gaaf_Alif_Atoll;provinces
MV;28;"Gaafu Dhaalu Atoll";"Gaafu Dhaalu";https://en.wikipedia.org/wiki/Gaafu_Dhaalu_Atoll;provinces
MV;29;"Gnaviyani Atoll";Gnaviyani;https://en.wikipedia.org/wiki/Gnaviyani_Atoll;provinces
MV;07;"Haa Alif Atoll";"Haa Alifu";https://en.wikipedia.org/wiki/Haa_Alif_Atoll;provinces
MV;23;"Haa Dhaalu Atoll";"Haa Dhaalu";https://en.wikipedia.org/wiki/Haa_Dhaalu_Atoll;provinces
MV;26;"Kaafu Atoll";Kaafu;https://en.wikipedia.org/wiki/Kaafu_Atoll;provinces
MV;05;"Laamu Atoll";Laamu;https://en.wikipedia.org/wiki/Laamu_Atoll;provinces
MV;03;"Lhaviyani Atoll";Lhaviyani;https://en.wikipedia.org/wiki/Lhaviyani_Atoll;provinces
MV;12;"Meemu Atoll";Meemu;https://en.wikipedia.org/wiki/Meemu_Atoll;provinces
MV;25;"Noonu Atoll";Noonu;https://en.wikipedia.org/wiki/Noonu_Atoll;provinces
MV;13;"Raa Atoll";Raa;https://en.wikipedia.org/wiki/Raa_Atoll;provinces
MV;01;"Seenu Atoll";Seenu;https://en.wikipedia.org/wiki/Seenu_Atoll;provinces
MV;24;"Shaviyani Atoll";Shaviyani;https://en.wikipedia.org/wiki/Shaviyani_Atoll;provinces
MV;08;"Thaa Atoll";Thaa;https://en.wikipedia.org/wiki/Thaa_Atoll;provinces
MV;04;"Vaavu Atoll";Vaavu;https://en.wikipedia.org/wiki/Vaavu_Atoll;provinces
MW;C;"Central Region (Malawi)";"Central Region";https://en.wikipedia.org/wiki/Central_Region_(Malawi);regions
MW;N;"Northern Region (Malawi)";"Northern Region";https://en.wikipedia.org/wiki/Northern_Region_(Malawi);regions
MW;S;"Southern Region (Malawi)";"Southern Region";https://en.wikipedia.org/wiki/Southern_Region_(Malawi);regions
MX;CMX;"Mexico City";"Mexican Federal District";https://en.wikipedia.org/wiki/Mexico_City;"federal district"
MX;AGU;Aguascalientes;Aguascalientes;https://en.wikipedia.org/wiki/Aguascalientes;state
MX;BCN;"Baja California";"Baja California";https://en.wikipedia.org/wiki/Baja_California;state
MX;BCS;"Baja California Sur";"Baja California Sur";https://en.wikipedia.org/wiki/Baja_California_Sur;state
MX;CAM;Campeche;Campeche;https://en.wikipedia.org/wiki/Campeche;state
MX;COA;Coahuila;Coahuila;https://en.wikipedia.org/wiki/Coahuila;state
MX;COL;Colima;Colima;https://en.wikipedia.org/wiki/Colima;state
MX;CHP;Chiapas;Chiapas;https://en.wikipedia.org/wiki/Chiapas;state
MX;CHH;"Chihuahua (state)";Chihuahua;https://en.wikipedia.org/wiki/Chihuahua_(state);state
MX;DUR;Durango;Durango;https://en.wikipedia.org/wiki/Durango;state
MX;GUA;Guanajuato;Guanajuato;https://en.wikipedia.org/wiki/Guanajuato;state
MX;GRO;Guerrero;Guerrero;https://en.wikipedia.org/wiki/Guerrero;state
MX;HID;"Hidalgo (state)";Hidalgo;https://en.wikipedia.org/wiki/Hidalgo_(state);state
MX;JAL;Jalisco;Jalisco;https://en.wikipedia.org/wiki/Jalisco;state
MX;MEX;"State of Mexico";México;https://en.wikipedia.org/wiki/State_of_Mexico;state
MX;MIC;Michoacán;Michoacán;https://en.wikipedia.org/wiki/Michoac%C3%A1n;state
